economy,Country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
SSD,South Sudan,,,,,,,,,,,,,99.8,,99.8,,99.8,,99.80584,,97.0038,,94.20176,,94.2,,94.2,,94.2,,94.2,,94.2,
ZAF,South Africa,,,,,,,,,,,27.60971,,27.22887,,26.84803,,26.46718,,26.08634,,25.7055,,25.32466,,24.94382,,24.56298,,24.18213,,24.2,,24.2,
SOM,"Somalia, Fed. Rep.",,,,,,,,,,,76.73784,,74.76156,,72.35662,,69.89404,,67.40634,,64.81973,,62.16985,,59.52948,,56.84264,,53.3709,,51.93824,,48.68591,
SLB,Solomon Islands,,,,,,,,,,,10.4,,10.4,,10.4,,8.95,,7.5,,6.05,,4.6,,3.15,,2.0,,1.95,,1.95,,1.94965,
SVN,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52712,
SVK,Slovak Republic,,,,,,,,,,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.06602,
SXM,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88821,
SGP,Singapore,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
SLE,Sierra Leone,,,,,,,,,,,73.9,,73.9,,72.5475,,69.80989,,67.07228,,64.33467,,61.59705,,58.85944,,56.12183,,53.38422,,50.64661,,49.27874,
SYC,Seychelles,,,,,,,,,,,76.73784,,74.76156,,72.35662,,69.89404,,67.40634,,64.81973,,62.16985,,59.52948,,56.84264,,53.3709,,51.93824,,48.68591,
SRB,Serbia,,,,,,,,,,,0.65,,0.65,,0.6,,0.6,,0.55,,0.5,,0.5,,0.45,,0.45,,0.4,,0.35,,1.41509,
SEN,Senegal,,,,,,,,,,,67.15485,,63.59985,,60.04485,,56.48985,,52.93485,,49.37985,,45.82485,,42.26985,,38.71484,,35.15984,,31.60484,,46.41165,
SAU,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,
STP,Sao Tome and Principe,,,,,,,,,,,,,,,61.4,,61.4,,60.3972,,58.45879,,56.52039,,54.58198,,52.64358,,52.6,,52.6,,82.39333,
SMR,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,,,,,,,,,,,4.55,,4.55,,4.55,,3.9,,3.2,,2.55,,1.85,,1.15,,0.5,,0.25,,0.25,,34.58533,
RWA,Rwanda,,,,,,,,,,,71.42051,,67.93933,,64.45814,,60.97695,,57.49576,,54.01458,,50.53339,,47.0522,,43.57101,,40.08982,,38.34923,,38.34923,
RUS,Russian Federation,,,,,,,,,,,3.65,,3.55,,3.5,,3.35,,3.3,,3.2,,3.15,,3.0,,2.9,,2.85,,2.75,,2.61887,
ROU,Romania,,,,,,,,,,,0.0,,3.65,,3.65,,3.5,,3.25,,2.95,,2.65,,2.4,,2.1,,1.85,,1.55,,2.52038,
QAT,Qatar,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
PRI,Puerto Rico (US),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,,,,,,,,,,,1.25,,1.1,,0.95,,0.75,,0.55,,0.4,,0.25,,0.15,,0.1,,0.05,,0.05,,0.05897,
POL,Poland,,,,,,,,,,,2.1,,1.8,,1.55,,1.25,,0.85,,0.55,,0.25,,0.05,,4.5,,4.3,,3.7,,4.21795,
PHL,Philippines,,,,,,,,,,,49.97359,,48.56749,,47.16139,,45.75529,,44.34919,,42.94309,,41.53699,,40.13089,,38.7248,,37.3187,,36.61565,,35.874,
PER,Peru,,,,,,,,,,,47.41309,,45.56432,,43.71555,,41.86678,,40.018,,38.16923,,46.08282,,47.05334,,45.86166,,44.21753,,43.73131,,45.05797,
PRY,Paraguay,,,,,,,,,,,42.02714,,39.03,,36.03286,,33.03571,,30.03857,,27.04143,,24.04429,,21.04714,,18.05,,15.05286,,15.1,,15.1,
PNG,Papua New Guinea,,,,,,,,,,,19.75,,19.75,,19.75,,20.1,,20.5,,20.9,,21.3,,21.65,,22.0,,22.4,,22.8,,22.2687,
PAN,Panama,,,,,,,,,,,48.67615,,44.36462,,40.05308,,35.74154,,31.43,,27.11846,,22.80692,,18.49538,,16.3,,16.3,,,,16.3,
PLW,Palau,,,,,,,,,,,2.15,,1.95,,1.7,,1.5,,1.3,,1.05,,0.85,,0.65,,0.4,,0.3,,0.3,,0.61832,
PAK,Pakistan,,,,,,,,,,,71.22167,,69.69687,,68.17208,,66.64728,,65.12249,,63.59769,,62.0729,,60.5481,,59.0233,,57.49851,,55.97371,,55.97371,
OMN,Oman,,,,,,,,,,,4.25,,4.0,,3.55,,2.9,,2.3,,1.65,,1.0,,0.5,,0.3,,0.15,,0.0,,0.0,
NOR,Norway,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
MNP,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,
MKD,North Macedonia,,,,,,,,,,,1.3,,1.3,,1.3,,1.15,,1.0,,0.8,,0.65,,0.5,,0.3,,0.15,,0.15,,0.27796,
NGA,Nigeria,,,,,,,,,,,74.10729,,71.59477,,69.08224,,66.56972,,64.0572,,61.54467,,59.03215,,56.51963,,54.00711,,51.49458,,48.98206,,48.49726,
NER,Niger,,,,,,,,,,,70.03805,,70.09604,,70.15403,,70.21202,,70.27001,,70.32799,,70.38598,,70.44397,,70.44397,,70.44397,,70.44397,,70.44397,
NIC,Nicaragua,,,,,,,,,,,71.59811,,70.33595,,69.07378,,67.81162,,67.2,,67.2,,7.2549,,6.3867,,5.5185,,5.5185,,5.5185,,,
NZL,New Zealand,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
NCL,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,
NLD,Netherlands,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
NPL,Nepal,,,,,,,,,,,66.31029,,63.41828,,60.52627,,57.63426,,54.74225,,51.85024,,48.95823,,46.06622,,43.17421,,40.2822,,40.2822,,40.05521,
NRU,Nauru,,,,,,,,,,,3.6,,3.15,,2.75,,2.25,,1.85,,1.35,,0.9,,0.55,,0.55,,1.7969,,0.59734,,0.59734,
NAM,Namibia,,,,,,,,,,,42.55683,,42.4078,,42.25878,,42.10975,,41.96073,,41.8117,,41.66268,,41.51365,,41.36463,,41.4,,41.4,,41.4,
MMR,Myanmar,,,,,,,,,,,29.39935,,32.60843,,35.81751,,39.02659,,42.23566,,45.44474,,48.65382,,51.8629,,55.07197,,58.28105,,58.28105,,58.28105,
MOZ,Mozambique,,,,,,,,,,,90.09549,,86.58183,,83.06817,,79.55451,,76.04086,,72.5272,,69.01354,,65.49988,,61.98622,,58.47257,,54.95891,,54.95891,
MAR,Morocco,,,,,,,,,,,33.15472,,30.36674,,27.57876,,24.79078,,22.0028,,19.21482,,16.42684,,13.63886,,10.85088,,10.85088,,10.85088,,10.85088,
MNE,Montenegro,,,,,,,,,,,19.1,,19.1,,18.5,,17.3,,16.1,,14.9,,13.6,,12.4,,11.2,,10.0,,8.8,,8.76922,
MNG,Mongolia,,,,,,,,,,,57.60411,,53.63156,,49.65902,,45.68648,,41.71394,,37.7414,,33.76886,,29.79631,,25.82377,,21.85123,,17.87869,,17.87869,
MCO,Monaco,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
MDA,Moldova,,,,,,,,,,,26.5,,23.7,,20.8,,18.0,,15.1,,12.3,,9.4,,6.5,,6.5,,6.5,,,,,
FSM,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,,,,,,,,,,,32.16297,,30.44793,,28.73289,,27.01784,,25.3028,,23.58776,,21.87272,,20.15767,,18.44263,,17.6,,17.6,,17.6,
MUS,Mauritius,,,,,,,,,,,76.73784,,74.76156,,72.35662,,69.89404,,67.40634,,64.81973,,62.16985,,59.52948,,56.84264,,53.3709,,51.93824,,48.68591,
MRT,Mauritania,,,,,,,,,,,84.69319,,81.3166,,77.94,,74.5634,,71.18681,,67.81021,,64.43361,,61.05702,,57.68042,,56.0,,56.0,,58.56017,
MHL,Marshall Islands,,,,,,,,,,,,,2.2,,2.2,,2.0,,1.65,,1.35,,1.0,,0.75,,0.45,,0.1,,2.2206,,2.37518,
MLT,Malta,,,,,,,,,,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,,0.0375,
MLI,Mali,,,,,,,,,,,83.87627,,79.68152,,75.48678,,71.29204,,67.09729,,62.90255,,58.7078,,54.51306,,50.31832,,46.12357,,41.92883,,92.49697,
MDV,Maldives,,,,,,,,,,,,,,,41.535,,41.535,,40.9775,,39.8625,,38.7475,,37.6325,,36.5175,,35.4025,,34.845,,34.845,
MYS,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,
MWI,Malawi,,,,,,,,,,,81.41073,,77.89671,,74.38269,,70.86866,,67.35464,,63.84062,,60.32659,,56.81257,,53.29854,,49.78452,,49.78452,,37.97408,
MDG,Madagascar,,,,,,,,,,,91.43569,,89.03413,,86.63257,,84.23101,,81.82945,,79.42789,,77.02633,,74.62477,,72.22321,,69.82165,,67.42009,,65.71715,
MAC,"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,,,,,,,,,,,0.0,,0.0,,0.0009,,0.00343,,0.00596,,0.00848,,0.01101,,0.01354,,0.01606,,0.01733,,0.01733,,0.01733,
LTU,Lithuania,,,,,,,,,,,4.15,,3.7,,3.3,,2.85,,2.4,,2.0,,1.55,,1.1,,0.65,,0.25,,0.25,,0.50861,
LIE,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,,,,,,,,,,,39.14517,,45.26156,,41.5949,,35.16781,,30.98409,,27.87211,,24.29979,,20.2535,,17.23863,,16.38228,,23.68082,,16.58153,
LBR,Liberia,,,,,,,,,,,,,75.48823,,75.48823,,74.59566,,72.81052,,71.02538,,69.24025,,67.45511,,65.66997,,63.88484,,63.88484,,60.47684,
LSO,Lesotho,,,,,,,,,,,62.72729,,62.72729,,58.59683,,54.46637,,50.33592,,46.20546,,42.075,,37.94455,,33.81409,,29.68363,,25.55318,,25.55318,
LBN,Lebanon,,,,,,,,,,,,,92.4,,92.4,,92.41022,,67.30186,,42.19351,,17.08516,,4.5,,4.5,,4.5,,4.5,,4.53099,
LVA,Latvia,,,,,,,,,,,2.85,,2.75,,2.4,,2.15,,1.85,,1.6,,1.3,,1.05,,0.8,,0.6,,0.6,,0.59304,
LAO,Lao PDR,,,,,,,,,,,54.4,,51.0,,47.5,,44.1,,40.7,,37.3,,33.8,,30.4,,27.0,,23.6,,21.8,,54.83946,
KGZ,Kyrgyz Republic,,,,,,,,,,,47.15842,,42.68651,,38.2146,,33.74269,,29.27078,,24.79887,,20.32696,,15.85505,,11.38314,,6.91123,,2.43932,,2.43932,
KWT,Kuwait,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
XKX,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Rep.",,,,,,,,,,,,,,,,,12.8,,,,9.3,,,,4.7,,5.8,,6.8,,5.6,,4.5,
PRK,"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03639,
KIR,Kiribati,,,,,,,,,,,18.1,,16.8,,15.55,,14.35,,13.1,,11.8,,10.6,,9.35,,8.1,,6.85,,5.6,,5.93438,
KEN,Kenya,,,,,,,,,,,63.18451,,61.63811,,60.09171,,58.54531,,56.99891,,55.45251,,53.90611,,52.35971,,50.81331,,50.81331,,50.81331,,40.49575,
KAZ,Kazakhstan,,,,,,,,,,,24.45811,,21.67406,,18.89002,,16.10598,,13.32194,,10.5379,,7.75386,,4.96982,,2.18578,,0.79376,,0.79376,,0.79376,
JOR,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,23.4,,,,,,,
JPN,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
JAM,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8835,
ITA,Italy,,,,,,,,,,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,,0.02,
ISR,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMN,Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,,,,,,,,,,,6.2,,6.4,,6.7,,6.9,,7.2,,7.5,,7.7,,8.0,,8.3,,8.5,,8.5,,8.5,
IRQ,Iraq,,,,,,,,,,,33.89419,,35.43867,,36.98314,,38.52762,,40.07209,,41.61657,,43.16104,,44.70552,,46.24999,,47.79447,,49.33894,,49.33894,
IRN,"Iran, Islamic Rep.",,,,,,,,,,,57.60128,,56.79227,,55.97413,,55.27324,,54.47522,,53.69789,,52.94421,,52.19329,,51.44004,,50.66515,,50.42596,,44.6899,
IDN,Indonesia,,,,,,,,,,,35.12568,,33.47149,,31.81729,,30.1631,,28.5089,,26.85471,,25.20051,,23.54632,,21.89212,,20.23793,,19.41083,,19.41083,
IND,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,5.41,,,,
ISL,Iceland,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
HUN,Hungary,,,,,,,,,,,15.4,,14.2,,12.9,,11.6,,10.4,,9.1,,7.9,,7.2,,7.2,,,,,,,
HKG,"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,,,,,,,,,,,44.4,,44.4,,43.24,,40.9,,38.56,,36.22,,33.88,,31.54,,31.5,,31.5,,,,,
HTI,Haiti,,,,,,,,,,,61.2833,,59.97767,,58.67204,,57.36641,,56.06078,,54.75515,,53.44951,,52.14388,,50.83825,,49.53262,,48.9,,51.05915,
GUY,Guyana,,,,,,,,,,,26.1,,26.1,,25.31799,,23.67077,,22.02354,,20.37632,,18.7291,,17.08187,,15.43465,,13.78743,,12.1402,,11.30361,
GNB,Guinea-Bissau,,,,,,,,,,,,,,,,,,,75.2,,75.2,,75.24783,,71.63847,,68.0291,,64.41973,,60.81037,,59.0,
GIN,Guinea,,,,,,,,,,,40.66534,,41.49952,,42.3337,,43.16788,,44.00206,,44.83624,,45.67042,,46.5046,,47.33878,,48.17296,,49.00714,,43.95734,
GTM,Guatemala,,,,,,,,,,,55.49609,,53.25944,,51.0228,,48.78615,,46.5495,,44.31286,,42.07621,,39.83957,,37.60292,,37.6,,37.6,,37.6,
GUM,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5524,
GRD,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,,,,,,,,,,,0.25,,0.25,,0.25,,0.2,,0.15,,0.1,,0.05,,,,,,,,,,,
GIB,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,,,,,,,,,,,60.36841,,57.00822,,53.64802,,50.28782,,46.92763,,43.56743,,40.20724,,36.84704,,33.48685,,33.48685,,33.48685,,33.48685,
DEU,Germany,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
GEO,Georgia,,,,,,,,,,,13.6,,13.6,,13.2148,,12.44783,,11.68087,,10.9139,,10.14694,,9.37997,,8.61301,,7.84604,,7.07908,,7.07908,
GMB,"Gambia, The",,,,,,,,,,,56.92053,,55.11779,,53.31504,,51.5123,,49.70956,,47.90681,,46.10407,,44.30132,,42.49858,,40.69583,,38.89309,,37.08102,
GAB,Gabon,,,,,,,,,,,57.43,,55.55895,,53.6879,,51.81685,,49.9458,,48.07475,,46.2037,,44.33265,,44.33265,,44.33265,,44.33265,,38.77297,
PYF,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,
FRA,France,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
FIN,Finland,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
FJI,Fiji,,,,,,,,,,,2.2181,,15.0,,15.0,,14.5,,13.5,,12.5,,11.4,,10.4,,9.4,,9.4,,9.4,,9.4,
FRO,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,,,,,,,,,,,92.17158,,89.07633,,85.98109,,82.88584,,79.7906,,76.69536,,73.60011,,70.50487,,67.40962,,64.31438,,64.31438,,64.31438,
SWZ,Eswatini,,,,,,,,,,,55.35217,,55.35217,,55.35217,,47.92817,,40.50418,,33.08018,,25.65619,,18.23219,,10.8082,,10.8082,,10.8082,,17.00571,
EST,Estonia,,,,,,,,,,,0.05,,0.05,,0.05,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.34543,
ERI,Eritrea,,,,,,,,,,,76.73784,,74.76156,,72.35662,,69.89404,,67.40634,,64.81973,,62.16985,,59.52948,,56.84264,,53.3709,,51.93824,,48.68591,
GNQ,Equatorial Guinea,,,,,,,,,,,52.91641,,60.09282,,58.82956,,59.17237,,59.85517,,60.60063,,61.41705,,62.38752,,63.47137,,64.67379,,64.91767,,64.68739,
SLV,El Salvador,,,,,,,,,,,1.9036,,49.5,,49.5,,46.49143,,40.48857,,34.48571,,28.48286,,22.48,,16.47714,,16.5,,16.5,,16.47714,
EGY,"Egypt, Arab Rep.",,,,,,,,,,,42.22616,,36.71599,,31.20583,,25.69566,,20.1855,,14.67533,,9.16517,,3.655,,0.89992,,0.89992,,0.89992,,3.83938,
ECU,Ecuador,,,,,,,,,,,57.41273,,57.84727,,57.8,,57.8,,,,,,,,,,,,,,,,57.8,
DOM,Dominican Republic,,,,,,,,,,,30.15546,,27.79214,,25.42881,,23.06549,,20.70217,,18.33885,,15.97552,,13.6122,,11.24888,,11.24888,,11.24888,,11.24888,
DMA,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,,,,,,,,,,,76.73784,,74.76156,,72.35662,,69.89404,,67.40634,,64.81973,,62.16985,,59.52948,,56.84264,,53.3709,,51.93824,,48.68591,
DNK,Denmark,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
CZE,Czechia,,,,,,,,,,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.05,,0.02735,
CYP,Cyprus,,,,,,,,,,,0.2,,0.2,,0.2,,0.25,,0.25,,0.25,,0.25,,0.25,,0.3,,0.3,,0.3,,0.27235,
CUW,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,,,,,,,,,,,2.15371,,2.15371,,2.15371,,3.20225,,4.25079,,5.29933,,6.34787,,7.3964,,8.44494,,9.49348,,10.54202,,11.04101,
HRV,Croatia,,,,,,,,,,,0.4,,0.4,,0.4,,0.35,,0.35,,0.35,,0.3,,0.3,,0.25,,0.25,,0.25,,0.52712,
CIV,Cote d'Ivoire,,,,,,,,,,,67.07658,,65.53594,,63.9953,,62.45466,,60.91402,,59.37338,,57.83274,,56.2921,,54.75146,,53.21082,,53.21082,,48.26127,
CRI,Costa Rica,,,,,,,,,,,12.69593,,11.78091,,10.86589,,9.95087,,9.03585,,8.12083,,7.20581,,6.29079,,5.37577,,4.46075,,3.54573,,3.54573,
COG,"Congo, Rep.",,,,,,,,,,,87.80583,,87.80583,,84.68995,,78.45821,,72.22646,,65.99471,,59.76296,,53.53121,,47.29947,,44.18359,,44.18359,,75.34233,
COD,"Congo, Dem. Rep.",,,,,,,,,,,,,71.91424,,71.91424,,72.37482,,73.29596,,74.21711,,75.13825,,76.0594,,76.98054,,77.90169,,78.36226,,78.36226,
COM,Comoros,,,,,,,,,,,64.49449,,65.08643,,65.67836,,66.27029,,66.86223,,67.45416,,68.0461,,68.63803,,68.6,,68.6,,68.6,,48.50155,
COL,Colombia,,,,,,,,,,,21.17683,,19.83238,,18.48794,,17.14349,,15.79905,,14.4546,,13.11016,,11.76571,,10.42127,,9.7,,9.7,,9.7,
