economy,Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZAF,South Africa,0.705,0.709,0.715,0.729,0.74,0.763,0.753,0.775,0.742,0.779,,0.781,0.794,
SOM,"Somalia, Fed. Rep.",,,,,0.048,,,,,,,,,
SLB,Solomon Islands,,0.197,0.15,0.18,,,0.181,,,,,,,0.238
SVN,Slovenia,2.435,2.5,2.546,2.634,2.775,2.83,3.019,3.107,3.185,3.27,3.303,3.335,3.367,
SVK,Slovak Republic,3.359,3.307,3.366,3.393,3.43,3.454,3.476,3.423,3.523,3.569,3.671,3.683,3.697,
SXM,Sint Maarten (Dutch part),,,,,,,,,,,,,,
SGP,Singapore,1.779,1.861,1.932,2.034,2.15,2.255,2.325,2.389,2.443,2.519,2.638,2.781,2.834,
SLE,Sierra Leone,0.022,0.026,,,,,,,0.075,0.033,0.073,,0.134,
SYC,Seychelles,1.053,1.103,0.935,,,,1.849,,2.087,1.869,,3.634,6.598,
SRB,Serbia,3.017,3.043,3.047,3.058,3.03,3.043,2.926,2.937,2.966,,2.875,3.029,3.099,
SEN,Senegal,,,,0.3179,,0.2074,0.077,0.069,,0.088,0.082,0.099,0.124,0.109
SAU,Saudi Arabia,2.244,2.27,2.273,2.426,2.371,2.444,2.466,2.676,2.899,2.633,3.076,3.2,3.482,3.406
STP,Sao Tome and Principe,,,,,,0.315,,,,0.492,,,0.464,
SMR,San Marino,,4.814,4.896,4.881,5.964,,,,,,,,4.663,4.629
WSM,Samoa,0.332,,,0.464,,,0.329,,,0.558,0.562,0.561,,
RWA,Rwanda,0.055,0.0129,,0.1,0.089,0.11,0.12,0.135,0.132,0.117,0.116,0.121,0.09,
RUS,Russian Federation,4.973,4.22,4.003,3.987,4.12,3.925,3.964,4.058,4.097,4.165,3.807,5.087,5.111,
ROU,Romania,2.485,2.522,2.598,2.633,2.69,2.758,2.83,2.912,3.028,3.165,3.307,3.486,3.625,
QAT,Qatar,4.048,,,,1.927,,2.751,,2.504,,,,,3.022
PRI,Puerto Rico (US),,,,,,,,,,,,,,
PRT,Portugal,3.982,4.123,4.241,4.399,4.562,4.748,4.93,5.103,5.276,5.422,5.576,5.711,5.851,
POL,Poland,2.184,2.204,2.223,2.228,2.292,2.311,2.397,2.36,2.341,3.279,3.303,3.415,3.424,4.031
PHL,Philippines,0.543,0.554,0.564,0.574,0.589,0.609,0.631,0.66,0.695,0.732,0.752,0.792,,
PER,Peru,,,1.139,,,,1.307,,1.373,1.354,1.436,1.673,1.649,1.688
PRY,Paraguay,,,1.391,,,,,,1.466,,1.296,3.252,3.893,
PNG,Papua New Guinea,0.049,,,,,,,,0.064,0.06,,0.063,,0.061
PAN,Panama,1.411,1.503,1.603,1.586,1.588,1.579,1.573,1.589,1.609,1.637,1.63,1.737,1.625,
PLW,Palau,1.576,,,,1.412,,,1.91,1.573,2.191,1.798,2.809,2.472,1.808
PAK,Pakistan,0.727,0.748,0.775,0.795,0.818,0.85,0.89,0.932,0.917,1.049,,1.16,,
OMN,Oman,2.126,2.057,1.989,2.001,2.162,2.13,1.964,2.013,2.104,2.091,2.003,2.006,1.992,
NOR,Norway,4.114,4.188,4.232,4.306,4.429,4.091,4.22,4.346,4.466,4.578,4.682,4.768,4.908,4.975
MNP,Northern Mariana Islands,,,,,,,,,,,,,,
MKD,North Macedonia,2.701,2.769,2.839,2.883,3.021,3.017,3.166,3.204,3.315,3.409,3.343,,2.944,
NGA,Nigeria,,,,0.363,,,0.428,,0.364,0.356,,0.386,0.386,0.38
NER,Niger,,,0.053,0.051,0.027,0.032,0.033,0.022,0.037,0.039,0.035,,0.028,0.038
NIC,Nicaragua,0.739,0.825,0.872,0.91,0.906,0.942,0.965,1.0,0.682,,,,,
NZL,New Zealand,2.625,2.655,2.713,2.822,2.889,3.031,3.115,3.253,3.311,3.37,3.442,3.531,3.611,
NCL,New Caledonia,,,,,,,,,,,,,,
NLD,Netherlands,2.936,3.103,3.223,3.282,3.392,3.457,3.501,3.565,3.632,3.713,3.805,3.875,3.876,
NPL,Nepal,,,0.506,0.55,,,,0.681,0.749,0.815,0.857,0.884,,1.011
NRU,Nauru,1.1,1.386,,,,1.273,,,,,,,,
NAM,Namibia,,,,,,,,0.567,0.335,0.368,0.38,0.42,0.553,
MMR,Myanmar,0.539,0.568,0.599,,,,0.638,0.889,0.696,0.757,,,,
MOZ,Mozambique,0.05,0.054,0.056,0.058,,,,0.077,0.085,0.086,0.084,0.082,0.175,
MAR,Morocco,,,,0.631,0.913,,,0.734,,,,0.74,,
MNE,Montenegro,2.019,1.99,2.014,2.129,2.17,2.372,2.589,2.675,2.809,2.792,2.831,2.878,2.808,2.783
MNG,Mongolia,2.775,2.893,3.075,3.125,3.193,3.243,3.289,3.407,3.526,3.647,3.778,3.884,4.13,
MCO,Monaco,,7.375,7.32,8.107,7.756,,,,8.298,8.609,8.609,,,
MDA,Moldova,2.743,2.828,2.889,3.06,3.091,3.159,3.239,3.285,3.204,4.033,4.038,4.039,4.145,4.016
FSM,"Micronesia, Fed. Sts.",,,0.667,,,,,,,0.762,0.974,,,
MEX,Mexico,2.007,2.109,2.12,2.164,2.237,2.34,2.345,2.409,2.456,2.46,2.425,2.541,2.588,
MUS,Mauritius,1.169,1.407,1.336,1.585,1.88,1.973,2.144,2.268,1.858,2.558,2.689,,1.436,
MRT,Mauritania,0.161,,,,0.162,0.175,,0.188,0.196,0.201,0.203,0.219,0.261,
MHL,Marshall Islands,0.615,0.636,0.467,,,,,,,,,,,
MLT,Malta,3.026,3.107,3.237,3.421,3.604,3.676,3.828,3.965,3.972,4.026,4.164,4.294,4.513,
MLI,Mali,0.096,0.111,0.101,0.113,0.097,0.094,0.117,0.113,0.12,,,,0.191,0.188
MDV,Maldives,1.455,,,,1.862,,1.32,1.894,1.862,2.235,,,,
MYS,Malaysia,1.151,1.255,1.305,1.555,1.484,1.489,1.576,1.787,1.858,2.021,2.183,2.268,2.29,2.341
MWI,Malawi,,,,0.012,,,0.031,,0.15,,0.049,,0.054,
MDG,Madagascar,0.186,0.137,0.136,0.146,0.173,,,,0.195,,,,0.172,
MAC,"Macao SAR, China",,,,,,,,,,,,,,
LUX,Luxembourg,2.771,2.777,2.807,2.83,2.882,2.908,2.884,2.984,,,,,,
LTU,Lithuania,3.947,4.097,4.218,4.276,4.306,4.338,4.466,4.555,4.596,4.568,4.481,4.485,4.466,
LIE,Liechtenstein,,,,,,,,,,,,,,
LBY,Libya,,,,,2.037,1.861,,2.042,,,,,,
LBR,Liberia,0.022,,,,,0.036,0.049,0.051,0.14,0.145,0.151,0.169,0.178,
LSO,Lesotho,0.069,,,,,,,,0.457,,,,0.235,
LBN,Lebanon,2.298,2.675,,2.315,2.045,2.123,2.136,2.242,2.412,2.611,2.68,,,
